country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Algeria,algeria,ALG,Group J,1,algeria_melvin_mastil,Melvin Mastil,Goalkeeper,algeria_melvin_mastil.jpg
Algeria,algeria,ALG,Group J,2,algeria_aissa_mandi,Aïssa Mandi,Defender,algeria_aissa_mandi.jpg
Algeria,algeria,ALG,Group J,3,algeria_achref_abada,Achref Abada,Defender,algeria_achref_abada.jpg
Algeria,algeria,ALG,Group J,4,algeria_mohamed_amine_tougai,Mohamed Amine Tougai,Defender,algeria_mohamed_amine_tougai.jpg
Algeria,algeria,ALG,Group J,5,algeria_zineddine_belaid,Zineddine Belaïd,Defender,algeria_zineddine_belaid.jpg
Algeria,algeria,ALG,Group J,6,algeria_ramiz_zerrouki,Ramiz Zerrouki,Midfielder,algeria_ramiz_zerrouki.jpg
Algeria,algeria,ALG,Group J,7,algeria_riyad_mahrez,Riyad Mahrez,Forward,algeria_riyad_mahrez.jpg
Algeria,algeria,ALG,Group J,8,algeria_houssem_aouar,Houssem Aouar,Midfielder,algeria_houssem_aouar.jpg
Algeria,algeria,ALG,Group J,9,algeria_amine_gouiri,Amine Gouiri,Forward,algeria_amine_gouiri.jpg
Algeria,algeria,ALG,Group J,10,algeria_fares_chaibi,Farès Chaïbi,Midfielder,algeria_fares_chaibi.jpg
Algeria,algeria,ALG,Group J,11,algeria_anis_hadj_moussa,Anis Hadj Moussa,Forward,algeria_anis_hadj_moussa.jpg
Algeria,algeria,ALG,Group J,12,algeria_nadhir_benbouali,Nadhir Benbouali,Forward,algeria_nadhir_benbouali.jpg
Algeria,algeria,ALG,Group J,13,algeria_jaouen_hadjam,Jaouen Hadjam,Defender,algeria_jaouen_hadjam.jpg
Algeria,algeria,ALG,Group J,14,algeria_hicham_boudaoui,Hicham Boudaoui,Midfielder,algeria_hicham_boudaoui.jpg
Algeria,algeria,ALG,Group J,15,algeria_rayan_ait_nouri,Rayan Aït-Nouri,Defender,algeria_rayan_ait_nouri.jpg
Algeria,algeria,ALG,Group J,16,algeria_oussama_benbot,Oussama Benbot,Goalkeeper,algeria_oussama_benbot.jpg
Algeria,algeria,ALG,Group J,17,algeria_rafik_belghali,Rafik Belghali,Defender,algeria_rafik_belghali.jpg
Algeria,algeria,ALG,Group J,18,algeria_mohamed_amoura,Mohamed Amoura,Forward,algeria_mohamed_amoura.jpg
Algeria,algeria,ALG,Group J,19,algeria_nabil_bentaleb,Nabil Bentaleb,Midfielder,algeria_nabil_bentaleb.jpg
Algeria,algeria,ALG,Group J,20,algeria_adil_boulbina,Adil Boulbina,Forward,algeria_adil_boulbina.jpg
Algeria,algeria,ALG,Group J,21,algeria_ramy_bensebaini,Ramy Bensebaini,Defender,algeria_ramy_bensebaini.jpg
Algeria,algeria,ALG,Group J,22,algeria_ibrahim_maza,Ibrahim Maza,Midfielder,algeria_ibrahim_maza.jpg
Algeria,algeria,ALG,Group J,23,algeria_luca_zidane,Luca Zidane,Goalkeeper,algeria_luca_zidane.jpg
Algeria,algeria,ALG,Group J,24,algeria_yacine_titraoui,Yacine Titraoui,Midfielder,algeria_yacine_titraoui.jpg
Algeria,algeria,ALG,Group J,25,algeria_fares_ghedjemis,Farès Ghedjemis,Forward,algeria_fares_ghedjemis.jpg
Algeria,algeria,ALG,Group J,26,algeria_samir_chergui,Samir Chergui,Defender,algeria_samir_chergui.jpg
