country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Australia,australia,AUS,Group D,1,australia_mathew_ryan,Mathew Ryan,Goalkeeper,australia_mathew_ryan.jpg
Australia,australia,AUS,Group D,2,australia_milos_degenek,Miloš Degenek,Defender,australia_milos_degenek.jpg
Australia,australia,AUS,Group D,3,australia_alessandro_circati,Alessandro Circati,Defender,australia_alessandro_circati.jpg
Australia,australia,AUS,Group D,4,australia_jacob_italiano,Jacob Italiano,Defender,australia_jacob_italiano.jpg
Australia,australia,AUS,Group D,5,australia_jordan_bos,Jordan Bos,Defender,australia_jordan_bos.jpg
Australia,australia,AUS,Group D,6,australia_jason_geria,Jason Geria,Defender,australia_jason_geria.jpg
Australia,australia,AUS,Group D,7,australia_mathew_leckie,Mathew Leckie,Forward,australia_mathew_leckie.jpg
Australia,australia,AUS,Group D,8,australia_connor_metcalfe,Connor Metcalfe,Midfielder,australia_connor_metcalfe.jpg
Australia,australia,AUS,Group D,9,australia_mohamed_toure,Mohamed Touré,Forward,australia_mohamed_toure.jpg
Australia,australia,AUS,Group D,10,australia_ajdin_hrustic,Ajdin Hrustic,Forward,australia_ajdin_hrustic.jpg
Australia,australia,AUS,Group D,11,australia_awer_mabil,Awer Mabil,Forward,australia_awer_mabil.jpg
Australia,australia,AUS,Group D,12,australia_paul_izzo,Paul Izzo,Goalkeeper,australia_paul_izzo.jpg
Australia,australia,AUS,Group D,13,australia_aiden_o_neill,Aiden O'Neill,Midfielder,australia_aiden_o_neill.jpg
Australia,australia,AUS,Group D,14,australia_cammy_devlin,Cammy Devlin,Midfielder,australia_cammy_devlin.jpg
Australia,australia,AUS,Group D,15,australia_kai_trewin,Kai Trewin,Defender,australia_kai_trewin.jpg
Australia,australia,AUS,Group D,16,australia_aziz_behich,Aziz Behich,Defender,australia_aziz_behich.jpg
Australia,australia,AUS,Group D,17,australia_nestory_irankunda,Nestory Irankunda,Forward,australia_nestory_irankunda.jpg
Australia,australia,AUS,Group D,18,australia_patrick_beach,Patrick Beach,Goalkeeper,australia_patrick_beach.jpg
Australia,australia,AUS,Group D,19,australia_harry_souttar,Harry Souttar,Defender,australia_harry_souttar.jpg
Australia,australia,AUS,Group D,20,australia_cristian_volpato,Cristian Volpato,Forward,australia_cristian_volpato.jpg
Australia,australia,AUS,Group D,21,australia_cameron_burgess,Cameron Burgess,Defender,australia_cameron_burgess.jpg
Australia,australia,AUS,Group D,22,australia_jackson_irvine,Jackson Irvine,Midfielder,australia_jackson_irvine.jpg
Australia,australia,AUS,Group D,23,australia_nishan_velupillay,Nishan Velupillay,Forward,australia_nishan_velupillay.jpg
Australia,australia,AUS,Group D,24,australia_paul_okon_engstler,Paul Okon-Engstler,Midfielder,australia_paul_okon_engstler.jpg
Australia,australia,AUS,Group D,25,australia_lucas_herrington,Lucas Herrington,Defender,australia_lucas_herrington.jpg
Australia,australia,AUS,Group D,26,australia_tete_yengi,Tete Yengi,Forward,australia_tete_yengi.jpg
