country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Austria,austria,AUT,Group J,1,austria_alexander_schlager,Alexander Schlager,Goalkeeper,austria_alexander_schlager.jpg
Austria,austria,AUT,Group J,2,austria_david_affengruber,David Affengruber,Defender,austria_david_affengruber.jpg
Austria,austria,AUT,Group J,3,austria_kevin_danso,Kevin Danso,Defender,austria_kevin_danso.jpg
Austria,austria,AUT,Group J,4,austria_xaver_schlager,Xaver Schlager,Midfielder,austria_xaver_schlager.jpg
Austria,austria,AUT,Group J,5,austria_stefan_posch,Stefan Posch,Defender,austria_stefan_posch.jpg
Austria,austria,AUT,Group J,6,austria_nicolas_seiwald,Nicolas Seiwald,Midfielder,austria_nicolas_seiwald.jpg
Austria,austria,AUT,Group J,7,austria_marko_arnautovic,Marko Arnautović,Forward,austria_marko_arnautovic.jpg
Austria,austria,AUT,Group J,8,austria_david_alaba,David Alaba,Defender,austria_david_alaba.jpg
Austria,austria,AUT,Group J,9,austria_marcel_sabitzer,Marcel Sabitzer,Midfielder,austria_marcel_sabitzer.jpg
Austria,austria,AUT,Group J,10,austria_florian_grillitsch,Florian Grillitsch,Midfielder,austria_florian_grillitsch.jpg
Austria,austria,AUT,Group J,11,austria_michael_gregoritsch,Michael Gregoritsch,Forward,austria_michael_gregoritsch.jpg
Austria,austria,AUT,Group J,12,austria_florian_wiegele,Florian Wiegele,Goalkeeper,austria_florian_wiegele.jpg
Austria,austria,AUT,Group J,13,austria_patrick_pentz,Patrick Pentz,Goalkeeper,austria_patrick_pentz.jpg
Austria,austria,AUT,Group J,14,austria_sasa_kalajdzic,Saša Kalajdžić,Forward,austria_sasa_kalajdzic.jpg
Austria,austria,AUT,Group J,15,austria_philipp_lienhart,Philipp Lienhart,Defender,austria_philipp_lienhart.jpg
Austria,austria,AUT,Group J,16,austria_phillipp_mwene,Phillipp Mwene,Defender,austria_phillipp_mwene.jpg
Austria,austria,AUT,Group J,17,austria_carney_chukwuemeka,Carney Chukwuemeka,Midfielder,austria_carney_chukwuemeka.jpg
Austria,austria,AUT,Group J,18,austria_romano_schmid,Romano Schmid,Midfielder,austria_romano_schmid.jpg
Austria,austria,AUT,Group J,19,austria_christoph_baumgartner,Christoph Baumgartner,Midfielder,austria_christoph_baumgartner.jpg
Austria,austria,AUT,Group J,20,austria_konrad_laimer,Konrad Laimer,Midfielder,austria_konrad_laimer.jpg
Austria,austria,AUT,Group J,21,austria_patrick_wimmer,Patrick Wimmer,Forward,austria_patrick_wimmer.jpg
Austria,austria,AUT,Group J,22,austria_alexander_prass,Alexander Prass,Midfielder,austria_alexander_prass.jpg
Austria,austria,AUT,Group J,23,austria_marco_friedl,Marco Friedl,Defender,austria_marco_friedl.jpg
Austria,austria,AUT,Group J,24,austria_paul_wanner,Paul Wanner,Midfielder,austria_paul_wanner.jpg
Austria,austria,AUT,Group J,25,austria_michael_svoboda,Michael Svoboda,Defender,austria_michael_svoboda.jpg
Austria,austria,AUT,Group J,26,austria_alessandro_schopf,Alessandro Schöpf,Midfielder,austria_alessandro_schopf.jpg
