country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,1,bosnia_herzegovina_nikola_vasilj,Nikola Vasilj,Goalkeeper,bosnia_herzegovina_nikola_vasilj.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,2,bosnia_herzegovina_nihad_mujakic,Nihad Mujakić,Defender,bosnia_herzegovina_nihad_mujakic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,3,bosnia_herzegovina_dennis_hadzikadunic,Dennis Hadžikadunić,Defender,bosnia_herzegovina_dennis_hadzikadunic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,4,bosnia_herzegovina_tarik_muharemovic,Tarik Muharemović,Defender,bosnia_herzegovina_tarik_muharemovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,5,bosnia_herzegovina_sead_kolasinac,Sead Kolašinac,Defender,bosnia_herzegovina_sead_kolasinac.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,6,bosnia_herzegovina_benjamin_tahirovic,Benjamin Tahirović,Midfielder,bosnia_herzegovina_benjamin_tahirovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,7,bosnia_herzegovina_amar_dedic,Amar Dedić,Defender,bosnia_herzegovina_amar_dedic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,8,bosnia_herzegovina_armin_gigovic,Armin Gigović,Midfielder,bosnia_herzegovina_armin_gigovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,9,bosnia_herzegovina_samed_bazdar,Samed Baždar,Forward,bosnia_herzegovina_samed_bazdar.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,10,bosnia_herzegovina_ermedin_demirovic,Ermedin Demirović,Forward,bosnia_herzegovina_ermedin_demirovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,11,bosnia_herzegovina_edin_dzeko,Edin Džeko,Forward,bosnia_herzegovina_edin_dzeko.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,12,bosnia_herzegovina_mladen_jurkas,Mladen Jurkas,Goalkeeper,bosnia_herzegovina_mladen_jurkas.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,13,bosnia_herzegovina_ivan_basic,Ivan Bašić,Midfielder,bosnia_herzegovina_ivan_basic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,14,bosnia_herzegovina_ivan_sunjic,Ivan Šunjić,Midfielder,bosnia_herzegovina_ivan_sunjic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,15,bosnia_herzegovina_amar_memic,Amar Memić,Midfielder,bosnia_herzegovina_amar_memic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,16,bosnia_herzegovina_amir_hadziahmetovic,Amir Hadžiahmetović,Midfielder,bosnia_herzegovina_amir_hadziahmetovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,17,bosnia_herzegovina_dzenis_burnic,Dženis Burnić,Midfielder,bosnia_herzegovina_dzenis_burnic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,18,bosnia_herzegovina_nikola_katic,Nikola Katić,Defender,bosnia_herzegovina_nikola_katic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,19,bosnia_herzegovina_kerim_alajbegovic,Kerim Alajbegović,Forward,bosnia_herzegovina_kerim_alajbegovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,20,bosnia_herzegovina_esmir_bajraktarevic,Esmir Bajraktarević,Forward,bosnia_herzegovina_esmir_bajraktarevic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,21,bosnia_herzegovina_stjepan_radeljic,Stjepan Radeljić,Defender,bosnia_herzegovina_stjepan_radeljic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,22,bosnia_herzegovina_martin_zlomislic,Martin Zlomislić,Goalkeeper,bosnia_herzegovina_martin_zlomislic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,23,bosnia_herzegovina_haris_tabakovic,Haris Tabaković,Forward,bosnia_herzegovina_haris_tabakovic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,24,bosnia_herzegovina_nidal_celik,Nidal Čelik,Defender,bosnia_herzegovina_nidal_celik.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,25,bosnia_herzegovina_jovo_lukic,Jovo Lukić,Forward,bosnia_herzegovina_jovo_lukic.jpg
Bosnia and Herzegovina,bosnia_herzegovina,BIH,Group B,26,bosnia_herzegovina_ermin_mahmic,Ermin Mahmić,Midfielder,bosnia_herzegovina_ermin_mahmic.jpg
