country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Canada,canada,CAN,Group B,1,canada_dayne_st_clair,Dayne St. Clair,Goalkeeper,canada_dayne_st_clair.jpg
Canada,canada,CAN,Group B,2,canada_alistair_johnston,Alistair Johnston,Defender,canada_alistair_johnston.jpg
Canada,canada,CAN,Group B,3,canada_alfie_jones,Alfie Jones,Defender,canada_alfie_jones.jpg
Canada,canada,CAN,Group B,4,canada_luc_de_fougerolles,Luc de Fougerolles,Defender,canada_luc_de_fougerolles.jpg
Canada,canada,CAN,Group B,5,canada_joel_waterman,Joel Waterman,Defender,canada_joel_waterman.jpg
Canada,canada,CAN,Group B,6,canada_mathieu_choiniere,Mathieu Choinière,Midfielder,canada_mathieu_choiniere.jpg
Canada,canada,CAN,Group B,7,canada_stephen_eustaquio,Stephen Eustáquio,Midfielder,canada_stephen_eustaquio.jpg
Canada,canada,CAN,Group B,8,canada_ismael_kone,Ismaël Koné,Midfielder,canada_ismael_kone.jpg
Canada,canada,CAN,Group B,9,canada_cyle_larin,Cyle Larin,Forward,canada_cyle_larin.jpg
Canada,canada,CAN,Group B,10,canada_jonathan_david,Jonathan David,Forward,canada_jonathan_david.jpg
Canada,canada,CAN,Group B,11,canada_liam_millar,Liam Millar,Midfielder,canada_liam_millar.jpg
Canada,canada,CAN,Group B,12,canada_tani_oluwaseyi,Tani Oluwaseyi,Forward,canada_tani_oluwaseyi.jpg
Canada,canada,CAN,Group B,13,canada_derek_cornelius,Derek Cornelius,Defender,canada_derek_cornelius.jpg
Canada,canada,CAN,Group B,14,canada_jacob_shaffelburg,Jacob Shaffelburg,Midfielder,canada_jacob_shaffelburg.jpg
Canada,canada,CAN,Group B,15,canada_moise_bombito,Moïse Bombito,Defender,canada_moise_bombito.jpg
Canada,canada,CAN,Group B,16,canada_maxime_crepeau,Maxime Crépeau,Goalkeeper,canada_maxime_crepeau.jpg
Canada,canada,CAN,Group B,17,canada_tajon_buchanan,Tajon Buchanan,Forward,canada_tajon_buchanan.jpg
Canada,canada,CAN,Group B,18,canada_owen_goodman,Owen Goodman,Goalkeeper,canada_owen_goodman.jpg
Canada,canada,CAN,Group B,19,canada_alphonso_davies,Alphonso Davies,Defender,canada_alphonso_davies.jpg
Canada,canada,CAN,Group B,20,canada_ali_ahmed,Ali Ahmed,Forward,canada_ali_ahmed.jpg
Canada,canada,CAN,Group B,21,canada_jonathan_osorio,Jonathan Osorio,Midfielder,canada_jonathan_osorio.jpg
Canada,canada,CAN,Group B,22,canada_richie_laryea,Richie Laryea,Defender,canada_richie_laryea.jpg
Canada,canada,CAN,Group B,23,canada_niko_sigur,Niko Sigur,Defender,canada_niko_sigur.jpg
Canada,canada,CAN,Group B,24,canada_promise_david,Promise David,Forward,canada_promise_david.jpg
Canada,canada,CAN,Group B,25,canada_nathan_saliba,Nathan Saliba,Midfielder,canada_nathan_saliba.jpg
Canada,canada,CAN,Group B,26,canada_marcelo_flores,Marcelo Flores,Midfielder,canada_marcelo_flores.jpg
