country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Cape Verde,cape_verde,CPV,Group H,1,cape_verde_vozinha,Vozinha,Goalkeeper,cape_verde_vozinha.jpg
Cape Verde,cape_verde,CPV,Group H,2,cape_verde_stopira,Stopira,Defender,cape_verde_stopira.jpg
Cape Verde,cape_verde,CPV,Group H,3,cape_verde_diney,Diney,Defender,cape_verde_diney.jpg
Cape Verde,cape_verde,CPV,Group H,4,cape_verde_roberto_lopes,Roberto Lopes,Defender,cape_verde_roberto_lopes.jpg
Cape Verde,cape_verde,CPV,Group H,5,cape_verde_logan_costa,Logan Costa,Defender,cape_verde_logan_costa.jpg
Cape Verde,cape_verde,CPV,Group H,6,cape_verde_kevin_pina,Kevin Pina,Midfielder,cape_verde_kevin_pina.jpg
Cape Verde,cape_verde,CPV,Group H,7,cape_verde_jovane_cabral,Jovane Cabral,Midfielder,cape_verde_jovane_cabral.jpg
Cape Verde,cape_verde,CPV,Group H,8,cape_verde_joao_paulo,João Paulo,Midfielder,cape_verde_joao_paulo.jpg
Cape Verde,cape_verde,CPV,Group H,9,cape_verde_gilson_benchimol,Gilson Benchimol,Forward,cape_verde_gilson_benchimol.jpg
Cape Verde,cape_verde,CPV,Group H,10,cape_verde_jamiro_monteiro,Jamiro Monteiro,Midfielder,cape_verde_jamiro_monteiro.jpg
Cape Verde,cape_verde,CPV,Group H,11,cape_verde_garry_rodrigues,Garry Rodrigues,Midfielder,cape_verde_garry_rodrigues.jpg
Cape Verde,cape_verde,CPV,Group H,12,cape_verde_marcio_rosa,Márcio Rosa,Goalkeeper,cape_verde_marcio_rosa.jpg
Cape Verde,cape_verde,CPV,Group H,13,cape_verde_sidny_lopes_cabral,Sidny Lopes Cabral,Defender,cape_verde_sidny_lopes_cabral.jpg
Cape Verde,cape_verde,CPV,Group H,14,cape_verde_deroy_duarte,Deroy Duarte,Midfielder,cape_verde_deroy_duarte.jpg
Cape Verde,cape_verde,CPV,Group H,15,cape_verde_laros_duarte,Laros Duarte,Midfielder,cape_verde_laros_duarte.jpg
Cape Verde,cape_verde,CPV,Group H,16,cape_verde_yannick_semedo,Yannick Semedo,Midfielder,cape_verde_yannick_semedo.jpg
Cape Verde,cape_verde,CPV,Group H,17,cape_verde_willy_semedo,Willy Semedo,Midfielder,cape_verde_willy_semedo.jpg
Cape Verde,cape_verde,CPV,Group H,18,cape_verde_telmo_arcanjo,Telmo Arcanjo,Midfielder,cape_verde_telmo_arcanjo.jpg
Cape Verde,cape_verde,CPV,Group H,19,cape_verde_dailon_livramento,Dailon Livramento,Forward,cape_verde_dailon_livramento.jpg
Cape Verde,cape_verde,CPV,Group H,20,cape_verde_ryan_mendes,Ryan Mendes,Forward,cape_verde_ryan_mendes.jpg
Cape Verde,cape_verde,CPV,Group H,21,cape_verde_nuno_da_costa,Nuno da Costa,Midfielder,cape_verde_nuno_da_costa.jpg
Cape Verde,cape_verde,CPV,Group H,22,cape_verde_steven_moreira,Steven Moreira,Defender,cape_verde_steven_moreira.jpg
Cape Verde,cape_verde,CPV,Group H,23,cape_verde_cj_dos_santos,CJ dos Santos,Goalkeeper,cape_verde_cj_dos_santos.jpg
Cape Verde,cape_verde,CPV,Group H,24,cape_verde_wagner_pina,Wagner Pina,Defender,cape_verde_wagner_pina.jpg
Cape Verde,cape_verde,CPV,Group H,25,cape_verde_kelvin_pires,Kelvin Pires,Defender,cape_verde_kelvin_pires.jpg
Cape Verde,cape_verde,CPV,Group H,26,cape_verde_helio_varela,Hélio Varela,Midfielder,cape_verde_helio_varela.jpg
