country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Curaçao,curacao,CUW,Group E,1,curacao_eloy_room,Eloy Room,Goalkeeper,curacao_eloy_room.jpg
Curaçao,curacao,CUW,Group E,2,curacao_shurandy_sambo,Shurandy Sambo,Defender,curacao_shurandy_sambo.jpg
Curaçao,curacao,CUW,Group E,3,curacao_jurien_gaari,Juriën Gaari,Defender,curacao_jurien_gaari.jpg
Curaçao,curacao,CUW,Group E,4,curacao_roshon_van_eijma,Roshon van Eijma,Defender,curacao_roshon_van_eijma.jpg
Curaçao,curacao,CUW,Group E,5,curacao_sherel_floranus,Sherel Floranus,Defender,curacao_sherel_floranus.jpg
Curaçao,curacao,CUW,Group E,6,curacao_godfried_roemeratoe,Godfried Roemeratoe,Midfielder,curacao_godfried_roemeratoe.jpg
Curaçao,curacao,CUW,Group E,7,curacao_juninho_bacuna,Juninho Bacuna,Midfielder,curacao_juninho_bacuna.jpg
Curaçao,curacao,CUW,Group E,8,curacao_livano_comenencia,Livano Comenencia,Midfielder,curacao_livano_comenencia.jpg
Curaçao,curacao,CUW,Group E,9,curacao_jurgen_locadia,Jürgen Locadia,Forward,curacao_jurgen_locadia.jpg
Curaçao,curacao,CUW,Group E,10,curacao_leandro_bacuna,Leandro Bacuna,Midfielder,curacao_leandro_bacuna.jpg
Curaçao,curacao,CUW,Group E,11,curacao_jeremy_antonisse,Jeremy Antonisse,Forward,curacao_jeremy_antonisse.jpg
Curaçao,curacao,CUW,Group E,12,curacao_sontje_hansen,Sontje Hansen,Forward,curacao_sontje_hansen.jpg
Curaçao,curacao,CUW,Group E,13,curacao_tyrese_noslin,Tyrese Noslin,Forward,curacao_tyrese_noslin.jpg
Curaçao,curacao,CUW,Group E,14,curacao_kenji_gorre,Kenji Gorré,Forward,curacao_kenji_gorre.jpg
Curaçao,curacao,CUW,Group E,15,curacao_ar_jany_martha,Ar'jany Martha,Midfielder,curacao_ar_jany_martha.jpg
Curaçao,curacao,CUW,Group E,16,curacao_jearl_margaritha,Jearl Margaritha,Forward,curacao_jearl_margaritha.jpg
Curaçao,curacao,CUW,Group E,17,curacao_brandley_kuwas,Brandley Kuwas,Forward,curacao_brandley_kuwas.jpg
Curaçao,curacao,CUW,Group E,18,curacao_armando_obispo,Armando Obispo,Defender,curacao_armando_obispo.jpg
Curaçao,curacao,CUW,Group E,19,curacao_gervane_kastaneer,Gervane Kastaneer,Forward,curacao_gervane_kastaneer.jpg
Curaçao,curacao,CUW,Group E,20,curacao_joshua_brenet,Joshua Brenet,Defender,curacao_joshua_brenet.jpg
Curaçao,curacao,CUW,Group E,21,curacao_tahith_chong,Tahith Chong,Midfielder,curacao_tahith_chong.jpg
Curaçao,curacao,CUW,Group E,22,curacao_kevin_felida,Kevin Felida,Midfielder,curacao_kevin_felida.jpg
Curaçao,curacao,CUW,Group E,23,curacao_riechedly_bazoer,Riechedly Bazoer,Defender,curacao_riechedly_bazoer.jpg
Curaçao,curacao,CUW,Group E,24,curacao_deveron_fonville,Deveron Fonville,Defender,curacao_deveron_fonville.jpg
Curaçao,curacao,CUW,Group E,25,curacao_tyrick_bodak,Tyrick Bodak,Goalkeeper,curacao_tyrick_bodak.jpg
Curaçao,curacao,CUW,Group E,26,curacao_trevor_doornbusch,Trevor Doornbusch,Goalkeeper,curacao_trevor_doornbusch.jpg
