country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Ecuador,ecuador,ECU,Group E,1,ecuador_hernan_galindez,Hernán Galíndez,Goalkeeper,ecuador_hernan_galindez.jpg
Ecuador,ecuador,ECU,Group E,2,ecuador_felix_torres,Félix Torres,Defender,ecuador_felix_torres.jpg
Ecuador,ecuador,ECU,Group E,3,ecuador_piero_hincapie,Piero Hincapié,Defender,ecuador_piero_hincapie.jpg
Ecuador,ecuador,ECU,Group E,4,ecuador_joel_ordonez,Joel Ordóñez,Defender,ecuador_joel_ordonez.jpg
Ecuador,ecuador,ECU,Group E,5,ecuador_jordy_alcivar,Jordy Alcívar,Midfielder,ecuador_jordy_alcivar.jpg
Ecuador,ecuador,ECU,Group E,6,ecuador_willian_pacho,Willian Pacho,Defender,ecuador_willian_pacho.jpg
Ecuador,ecuador,ECU,Group E,7,ecuador_pervis_estupinan,Pervis Estupiñán,Defender,ecuador_pervis_estupinan.jpg
Ecuador,ecuador,ECU,Group E,8,ecuador_anthony_valencia,Anthony Valencia,Midfielder,ecuador_anthony_valencia.jpg
Ecuador,ecuador,ECU,Group E,9,ecuador_john_yeboah,John Yeboah,Forward,ecuador_john_yeboah.jpg
Ecuador,ecuador,ECU,Group E,10,ecuador_kendry_paez,Kendry Páez,Midfielder,ecuador_kendry_paez.jpg
Ecuador,ecuador,ECU,Group E,11,ecuador_kevin_rodriguez,Kevin Rodríguez,Forward,ecuador_kevin_rodriguez.jpg
Ecuador,ecuador,ECU,Group E,12,ecuador_moises_ramirez,Moisés Ramírez,Goalkeeper,ecuador_moises_ramirez.jpg
Ecuador,ecuador,ECU,Group E,13,ecuador_enner_valencia,Enner Valencia,Forward,ecuador_enner_valencia.jpg
Ecuador,ecuador,ECU,Group E,14,ecuador_alan_minda,Alan Minda,Midfielder,ecuador_alan_minda.jpg
Ecuador,ecuador,ECU,Group E,15,ecuador_pedro_vite,Pedro Vite,Midfielder,ecuador_pedro_vite.jpg
Ecuador,ecuador,ECU,Group E,16,ecuador_jordy_caicedo,Jordy Caicedo,Forward,ecuador_jordy_caicedo.jpg
Ecuador,ecuador,ECU,Group E,17,ecuador_angelo_preciado,Ángelo Preciado,Defender,ecuador_angelo_preciado.jpg
Ecuador,ecuador,ECU,Group E,18,ecuador_denil_castillo,Denil Castillo,Midfielder,ecuador_denil_castillo.jpg
Ecuador,ecuador,ECU,Group E,19,ecuador_gonzalo_plata,Gonzalo Plata,Forward,ecuador_gonzalo_plata.jpg
Ecuador,ecuador,ECU,Group E,20,ecuador_nilson_angulo,Nilson Angulo,Forward,ecuador_nilson_angulo.jpg
Ecuador,ecuador,ECU,Group E,21,ecuador_alan_franco,Alan Franco,Midfielder,ecuador_alan_franco.jpg
Ecuador,ecuador,ECU,Group E,22,ecuador_gonzalo_valle,Gonzalo Valle,Goalkeeper,ecuador_gonzalo_valle.jpg
Ecuador,ecuador,ECU,Group E,23,ecuador_moises_caicedo,Moisés Caicedo,Midfielder,ecuador_moises_caicedo.jpg
Ecuador,ecuador,ECU,Group E,24,ecuador_jeremy_arevalo,Jeremy Arévalo,Forward,ecuador_jeremy_arevalo.jpg
Ecuador,ecuador,ECU,Group E,25,ecuador_jackson_porozo,Jackson Porozo,Defender,ecuador_jackson_porozo.jpg
Ecuador,ecuador,ECU,Group E,26,ecuador_yaimar_medina,Yaimar Medina,Defender,ecuador_yaimar_medina.jpg
