country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
England,england,ENG,Group L,1,england_jordan_pickford,Jordan Pickford,Goalkeeper,england_jordan_pickford.jpg
England,england,ENG,Group L,2,england_ezri_konsa,Ezri Konsa,Defender,england_ezri_konsa.jpg
England,england,ENG,Group L,3,england_nico_o_reilly,Nico O'Reilly,Defender,england_nico_o_reilly.jpg
England,england,ENG,Group L,4,england_declan_rice,Declan Rice,Midfielder,england_declan_rice.jpg
England,england,ENG,Group L,5,england_john_stones,John Stones,Defender,england_john_stones.jpg
England,england,ENG,Group L,6,england_marc_guehi,Marc Guéhi,Defender,england_marc_guehi.jpg
England,england,ENG,Group L,7,england_bukayo_saka,Bukayo Saka,Forward,england_bukayo_saka.jpg
England,england,ENG,Group L,8,england_elliot_anderson,Elliot Anderson,Midfielder,england_elliot_anderson.jpg
England,england,ENG,Group L,9,england_harry_kane,Harry Kane,Forward,england_harry_kane.jpg
England,england,ENG,Group L,10,england_jude_bellingham,Jude Bellingham,Midfielder,england_jude_bellingham.jpg
England,england,ENG,Group L,11,england_marcus_rashford,Marcus Rashford,Forward,england_marcus_rashford.jpg
England,england,ENG,Group L,12,england_tino_livramento,Tino Livramento,Defender,england_tino_livramento.jpg
England,england,ENG,Group L,13,england_dean_henderson,Dean Henderson,Goalkeeper,england_dean_henderson.jpg
England,england,ENG,Group L,14,england_jordan_henderson,Jordan Henderson,Midfielder,england_jordan_henderson.jpg
England,england,ENG,Group L,15,england_dan_burn,Dan Burn,Defender,england_dan_burn.jpg
England,england,ENG,Group L,16,england_kobbie_mainoo,Kobbie Mainoo,Midfielder,england_kobbie_mainoo.jpg
England,england,ENG,Group L,17,england_morgan_rogers,Morgan Rogers,Midfielder,england_morgan_rogers.jpg
England,england,ENG,Group L,18,england_anthony_gordon,Anthony Gordon,Forward,england_anthony_gordon.jpg
England,england,ENG,Group L,19,england_ollie_watkins,Ollie Watkins,Forward,england_ollie_watkins.jpg
England,england,ENG,Group L,20,england_noni_madueke,Noni Madueke,Forward,england_noni_madueke.jpg
England,england,ENG,Group L,21,england_eberechi_eze,Eberechi Eze,Midfielder,england_eberechi_eze.jpg
England,england,ENG,Group L,22,england_ivan_toney,Ivan Toney,Forward,england_ivan_toney.jpg
England,england,ENG,Group L,23,england_james_trafford,James Trafford,Goalkeeper,england_james_trafford.jpg
England,england,ENG,Group L,24,england_reece_james,Reece James,Defender,england_reece_james.jpg
England,england,ENG,Group L,25,england_djed_spence,Djed Spence,Defender,england_djed_spence.jpg
England,england,ENG,Group L,26,england_jarell_quansah,Jarell Quansah,Defender,england_jarell_quansah.jpg
