country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Iran,iran,IRN,Group G,1,iran_alireza_beiranvand,Alireza Beiranvand,Goalkeeper,iran_alireza_beiranvand.jpg
Iran,iran,IRN,Group G,2,iran_saleh_hardani,Saleh Hardani,Defender,iran_saleh_hardani.jpg
Iran,iran,IRN,Group G,3,iran_ehsan_hajsafi,Ehsan Hajsafi,Defender,iran_ehsan_hajsafi.jpg
Iran,iran,IRN,Group G,4,iran_shojae_khalilzadeh,Shojae Khalilzadeh,Defender,iran_shojae_khalilzadeh.jpg
Iran,iran,IRN,Group G,5,iran_milad_mohammadi,Milad Mohammadi,Defender,iran_milad_mohammadi.jpg
Iran,iran,IRN,Group G,6,iran_saeid_ezatolahi,Saeid Ezatolahi,Midfielder,iran_saeid_ezatolahi.jpg
Iran,iran,IRN,Group G,7,iran_alireza_jahanbakhsh,Alireza Jahanbakhsh,Midfielder,iran_alireza_jahanbakhsh.jpg
Iran,iran,IRN,Group G,8,iran_mohammad_mohebi,Mohammad Mohebi,Midfielder,iran_mohammad_mohebi.jpg
Iran,iran,IRN,Group G,9,iran_mehdi_taremi,Mehdi Taremi,Forward,iran_mehdi_taremi.jpg
Iran,iran,IRN,Group G,10,iran_mehdi_ghayedi,Mehdi Ghayedi,Forward,iran_mehdi_ghayedi.jpg
Iran,iran,IRN,Group G,11,iran_ali_alipour,Ali Alipour,Forward,iran_ali_alipour.jpg
Iran,iran,IRN,Group G,12,iran_payam_niazmand,Payam Niazmand,Goalkeeper,iran_payam_niazmand.jpg
Iran,iran,IRN,Group G,13,iran_hossein_kanaanizadegan,Hossein Kanaanizadegan,Defender,iran_hossein_kanaanizadegan.jpg
Iran,iran,IRN,Group G,14,iran_saman_ghoddos,Saman Ghoddos,Midfielder,iran_saman_ghoddos.jpg
Iran,iran,IRN,Group G,15,iran_rouzbeh_cheshmi,Rouzbeh Cheshmi,Midfielder,iran_rouzbeh_cheshmi.jpg
Iran,iran,IRN,Group G,16,iran_mehdi_torabi,Mehdi Torabi,Midfielder,iran_mehdi_torabi.jpg
Iran,iran,IRN,Group G,17,iran_aria_yousefi,Aria Yousefi,Defender,iran_aria_yousefi.jpg
Iran,iran,IRN,Group G,18,iran_amirhossein_hosseinzadeh,Amirhossein Hosseinzadeh,Forward,iran_amirhossein_hosseinzadeh.jpg
Iran,iran,IRN,Group G,19,iran_ali_nemati,Ali Nemati,Defender,iran_ali_nemati.jpg
Iran,iran,IRN,Group G,20,iran_shahriyar_moghanlou,Shahriyar Moghanlou,Forward,iran_shahriyar_moghanlou.jpg
Iran,iran,IRN,Group G,21,iran_mohammad_ghorbani,Mohammad Ghorbani,Midfielder,iran_mohammad_ghorbani.jpg
Iran,iran,IRN,Group G,22,iran_hossein_hosseini,Hossein Hosseini,Goalkeeper,iran_hossein_hosseini.jpg
Iran,iran,IRN,Group G,23,iran_ramin_rezaeian,Ramin Rezaeian,Defender,iran_ramin_rezaeian.jpg
Iran,iran,IRN,Group G,24,iran_dennis_eckert,Dennis Eckert,Forward,iran_dennis_eckert.jpg
Iran,iran,IRN,Group G,25,iran_danial_eiri,Danial Eiri,Defender,iran_danial_eiri.jpg
Iran,iran,IRN,Group G,26,iran_amirmohammad_razzaghinia,Amirmohammad Razzaghinia,Midfielder,iran_amirmohammad_razzaghinia.jpg
