country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Japan,japan,JPN,Group F,1,japan_zion_suzuki,Zion Suzuki,Goalkeeper,japan_zion_suzuki.jpg
Japan,japan,JPN,Group F,2,japan_yukinari_sugawara,Yukinari Sugawara,Defender,japan_yukinari_sugawara.jpg
Japan,japan,JPN,Group F,3,japan_shogo_taniguchi,Shōgo Taniguchi,Defender,japan_shogo_taniguchi.jpg
Japan,japan,JPN,Group F,4,japan_ko_itakura,Kō Itakura,Defender,japan_ko_itakura.jpg
Japan,japan,JPN,Group F,5,japan_yuto_nagatomo,Yūto Nagatomo,Defender,japan_yuto_nagatomo.jpg
Japan,japan,JPN,Group F,6,japan_wataru_endo,Wataru Endo,Midfielder,japan_wataru_endo.jpg
Japan,japan,JPN,Group F,7,japan_ao_tanaka,Ao Tanaka,Midfielder,japan_ao_tanaka.jpg
Japan,japan,JPN,Group F,8,japan_takefusa_kubo,Takefusa Kubo,Midfielder,japan_takefusa_kubo.jpg
Japan,japan,JPN,Group F,9,japan_keisuke_goto,Keisuke Gotō,Forward,japan_keisuke_goto.jpg
Japan,japan,JPN,Group F,10,japan_ritsu_doan,Ritsu Dōan,Midfielder,japan_ritsu_doan.jpg
Japan,japan,JPN,Group F,11,japan_daizen_maeda,Daizen Maeda,Midfielder,japan_daizen_maeda.jpg
Japan,japan,JPN,Group F,12,japan_keisuke_osako,Keisuke Ōsako,Goalkeeper,japan_keisuke_osako.jpg
Japan,japan,JPN,Group F,13,japan_keito_nakamura,Keito Nakamura,Midfielder,japan_keito_nakamura.jpg
Japan,japan,JPN,Group F,14,japan_junya_ito,Junya Itō,Midfielder,japan_junya_ito.jpg
Japan,japan,JPN,Group F,15,japan_daichi_kamada,Daichi Kamada,Midfielder,japan_daichi_kamada.jpg
Japan,japan,JPN,Group F,16,japan_tsuyoshi_watanabe,Tsuyoshi Watanabe,Defender,japan_tsuyoshi_watanabe.jpg
Japan,japan,JPN,Group F,17,japan_yuito_suzuki,Yuito Suzuki,Midfielder,japan_yuito_suzuki.jpg
Japan,japan,JPN,Group F,18,japan_ayase_ueda,Ayase Ueda,Forward,japan_ayase_ueda.jpg
Japan,japan,JPN,Group F,19,japan_koki_ogawa,Kōki Ogawa,Forward,japan_koki_ogawa.jpg
Japan,japan,JPN,Group F,20,japan_ayumu_seko,Ayumu Seko,Defender,japan_ayumu_seko.jpg
Japan,japan,JPN,Group F,21,japan_hiroki_ito,Hiroki Itō,Defender,japan_hiroki_ito.jpg
Japan,japan,JPN,Group F,22,japan_takehiro_tomiyasu,Takehiro Tomiyasu,Defender,japan_takehiro_tomiyasu.jpg
Japan,japan,JPN,Group F,23,japan_tomoki_hayakawa,Tomoki Hayakawa,Goalkeeper,japan_tomoki_hayakawa.jpg
Japan,japan,JPN,Group F,24,japan_kaishu_sano,Kaishū Sano,Midfielder,japan_kaishu_sano.jpg
Japan,japan,JPN,Group F,25,japan_junnosuke_suzuki,Junnosuke Suzuki,Defender,japan_junnosuke_suzuki.jpg
Japan,japan,JPN,Group F,26,japan_kento_shiogai,Kento Shiogai,Forward,japan_kento_shiogai.jpg
