country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Jordan,jordan,JOR,Group J,1,jordan_yazeed_abulaila,Yazeed Abulaila,Goalkeeper,jordan_yazeed_abulaila.jpg
Jordan,jordan,JOR,Group J,2,jordan_mohammad_abu_hashish,Mohammad Abu Hashish,Defender,jordan_mohammad_abu_hashish.jpg
Jordan,jordan,JOR,Group J,3,jordan_abdallah_nasib,Abdallah Nasib,Defender,jordan_abdallah_nasib.jpg
Jordan,jordan,JOR,Group J,4,jordan_husam_abu_dahab,Husam Abu Dahab,Defender,jordan_husam_abu_dahab.jpg
Jordan,jordan,JOR,Group J,5,jordan_yazan_al_arab,Yazan Al-Arab,Defender,jordan_yazan_al_arab.jpg
Jordan,jordan,JOR,Group J,6,jordan_amer_jamous,Amer Jamous,Midfielder,jordan_amer_jamous.jpg
Jordan,jordan,JOR,Group J,7,jordan_mohammad_abu_zrayq,Mohammad Abu Zrayq,Forward,jordan_mohammad_abu_zrayq.jpg
Jordan,jordan,JOR,Group J,8,jordan_noor_al_rawabdeh,Noor Al-Rawabdeh,Midfielder,jordan_noor_al_rawabdeh.jpg
Jordan,jordan,JOR,Group J,9,jordan_ali_olwan,Ali Olwan,Forward,jordan_ali_olwan.jpg
Jordan,jordan,JOR,Group J,10,jordan_musa_al_taamari,Musa Al-Taamari,Forward,jordan_musa_al_taamari.jpg
Jordan,jordan,JOR,Group J,11,jordan_odeh_al_fakhouri,Odeh Al-Fakhouri,Forward,jordan_odeh_al_fakhouri.jpg
Jordan,jordan,JOR,Group J,12,jordan_nour_bani_attiah,Nour Bani Attiah,Goalkeeper,jordan_nour_bani_attiah.jpg
Jordan,jordan,JOR,Group J,13,jordan_mahmoud_al_mardi,Mahmoud Al-Mardi,Forward,jordan_mahmoud_al_mardi.jpg
Jordan,jordan,JOR,Group J,14,jordan_rajaei_ayed,Rajaei Ayed,Midfielder,jordan_rajaei_ayed.jpg
Jordan,jordan,JOR,Group J,15,jordan_ibrahim_sadeh,Ibrahim Sadeh,Midfielder,jordan_ibrahim_sadeh.jpg
Jordan,jordan,JOR,Group J,16,jordan_mo_abualnadi,Mo Abualnadi,Defender,jordan_mo_abualnadi.jpg
Jordan,jordan,JOR,Group J,17,jordan_salim_obaid,Salim Obaid,Defender,jordan_salim_obaid.jpg
Jordan,jordan,JOR,Group J,18,jordan_ibrahim_sabra,Ibrahim Sabra,Forward,jordan_ibrahim_sabra.jpg
Jordan,jordan,JOR,Group J,19,jordan_saed_al_rosan,Saed Al-Rosan,Defender,jordan_saed_al_rosan.jpg
Jordan,jordan,JOR,Group J,20,jordan_mohannad_abu_taha,Mohannad Abu Taha,Midfielder,jordan_mohannad_abu_taha.jpg
Jordan,jordan,JOR,Group J,21,jordan_nizar_al_rashdan,Nizar Al-Rashdan,Midfielder,jordan_nizar_al_rashdan.jpg
Jordan,jordan,JOR,Group J,22,jordan_abdallah_al_fakhouri,Abdallah Al-Fakhouri,Goalkeeper,jordan_abdallah_al_fakhouri.jpg
Jordan,jordan,JOR,Group J,23,jordan_ihsan_haddad,Ihsan Haddad,Defender,jordan_ihsan_haddad.jpg
Jordan,jordan,JOR,Group J,24,jordan_ali_azaizeh,Ali Azaizeh,Forward,jordan_ali_azaizeh.jpg
Jordan,jordan,JOR,Group J,25,jordan_mohammad_al_dawoud,Mohammad Al-Dawoud,Midfielder,jordan_mohammad_al_dawoud.jpg
Jordan,jordan,JOR,Group J,26,jordan_anas_badawi,Anas Badawi,Defender,jordan_anas_badawi.jpg
