country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Netherlands,netherlands,NED,Group F,1,netherlands_bart_verbruggen,Bart Verbruggen,Goalkeeper,netherlands_bart_verbruggen.jpg
Netherlands,netherlands,NED,Group F,2,netherlands_jurrien_timber,Jurriën Timber,Defender,netherlands_jurrien_timber.jpg
Netherlands,netherlands,NED,Group F,3,netherlands_marten_de_roon,Marten de Roon,Midfielder,netherlands_marten_de_roon.jpg
Netherlands,netherlands,NED,Group F,4,netherlands_virgil_van_dijk,Virgil van Dijk,Defender,netherlands_virgil_van_dijk.jpg
Netherlands,netherlands,NED,Group F,5,netherlands_nathan_ake,Nathan Aké,Defender,netherlands_nathan_ake.jpg
Netherlands,netherlands,NED,Group F,6,netherlands_jan_paul_van_hecke,Jan Paul van Hecke,Defender,netherlands_jan_paul_van_hecke.jpg
Netherlands,netherlands,NED,Group F,7,netherlands_justin_kluivert,Justin Kluivert,Midfielder,netherlands_justin_kluivert.jpg
Netherlands,netherlands,NED,Group F,8,netherlands_ryan_gravenberch,Ryan Gravenberch,Midfielder,netherlands_ryan_gravenberch.jpg
Netherlands,netherlands,NED,Group F,9,netherlands_wout_weghorst,Wout Weghorst,Forward,netherlands_wout_weghorst.jpg
Netherlands,netherlands,NED,Group F,10,netherlands_memphis_depay,Memphis Depay,Forward,netherlands_memphis_depay.jpg
Netherlands,netherlands,NED,Group F,11,netherlands_cody_gakpo,Cody Gakpo,Forward,netherlands_cody_gakpo.jpg
Netherlands,netherlands,NED,Group F,12,netherlands_mats_wieffer,Mats Wieffer,Defender,netherlands_mats_wieffer.jpg
Netherlands,netherlands,NED,Group F,13,netherlands_robin_roefs,Robin Roefs,Goalkeeper,netherlands_robin_roefs.jpg
Netherlands,netherlands,NED,Group F,14,netherlands_tijjani_reijnders,Tijjani Reijnders,Midfielder,netherlands_tijjani_reijnders.jpg
Netherlands,netherlands,NED,Group F,15,netherlands_micky_van_de_ven,Micky van de Ven,Defender,netherlands_micky_van_de_ven.jpg
Netherlands,netherlands,NED,Group F,16,netherlands_guus_til,Guus Til,Midfielder,netherlands_guus_til.jpg
Netherlands,netherlands,NED,Group F,17,netherlands_noa_lang,Noa Lang,Forward,netherlands_noa_lang.jpg
Netherlands,netherlands,NED,Group F,18,netherlands_donyell_malen,Donyell Malen,Forward,netherlands_donyell_malen.jpg
Netherlands,netherlands,NED,Group F,19,netherlands_brian_brobbey,Brian Brobbey,Forward,netherlands_brian_brobbey.jpg
Netherlands,netherlands,NED,Group F,20,netherlands_teun_koopmeiners,Teun Koopmeiners,Midfielder,netherlands_teun_koopmeiners.jpg
Netherlands,netherlands,NED,Group F,21,netherlands_frenkie_de_jong,Frenkie de Jong,Midfielder,netherlands_frenkie_de_jong.jpg
Netherlands,netherlands,NED,Group F,22,netherlands_denzel_dumfries,Denzel Dumfries,Defender,netherlands_denzel_dumfries.jpg
Netherlands,netherlands,NED,Group F,23,netherlands_mark_flekken,Mark Flekken,Goalkeeper,netherlands_mark_flekken.jpg
Netherlands,netherlands,NED,Group F,24,netherlands_crysencio_summerville,Crysencio Summerville,Forward,netherlands_crysencio_summerville.jpg
Netherlands,netherlands,NED,Group F,25,netherlands_jorrel_hato,Jorrel Hato,Defender,netherlands_jorrel_hato.jpg
Netherlands,netherlands,NED,Group F,26,netherlands_quinten_timber,Quinten Timber,Midfielder,netherlands_quinten_timber.jpg
