country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Saudi Arabia,saudi_arabia,KSA,Group H,1,saudi_arabia_nawaf_al_aqidi,Nawaf Al-Aqidi,Goalkeeper,saudi_arabia_nawaf_al_aqidi.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,2,saudi_arabia_ali_majrashi,Ali Majrashi,Defender,saudi_arabia_ali_majrashi.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,3,saudi_arabia_ali_lajami,Ali Lajami,Defender,saudi_arabia_ali_lajami.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,4,saudi_arabia_abdulelah_al_amri,Abdulelah Al-Amri,Defender,saudi_arabia_abdulelah_al_amri.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,5,saudi_arabia_hassan_al_tambakti,Hassan Al-Tambakti,Defender,saudi_arabia_hassan_al_tambakti.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,6,saudi_arabia_nasser_al_dawsari,Nasser Al-Dawsari,Midfielder,saudi_arabia_nasser_al_dawsari.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,7,saudi_arabia_musab_al_juwayr,Musab Al-Juwayr,Midfielder,saudi_arabia_musab_al_juwayr.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,8,saudi_arabia_ayman_yahya,Ayman Yahya,Forward,saudi_arabia_ayman_yahya.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,9,saudi_arabia_firas_al_buraikan,Firas Al-Buraikan,Forward,saudi_arabia_firas_al_buraikan.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,10,saudi_arabia_salem_al_dawsari,Salem Al-Dawsari,Forward,saudi_arabia_salem_al_dawsari.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,11,saudi_arabia_saleh_al_shehri,Saleh Al-Shehri,Forward,saudi_arabia_saleh_al_shehri.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,12,saudi_arabia_saud_abdulhamid,Saud Abdulhamid,Defender,saudi_arabia_saud_abdulhamid.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,13,saudi_arabia_nawaf_boushal,Nawaf Boushal,Defender,saudi_arabia_nawaf_boushal.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,14,saudi_arabia_hassan_kadesh,Hassan Kadesh,Defender,saudi_arabia_hassan_kadesh.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,15,saudi_arabia_abdullah_al_khaibari,Abdullah Al-Khaibari,Midfielder,saudi_arabia_abdullah_al_khaibari.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,16,saudi_arabia_ziyad_al_johani,Ziyad Al-Johani,Midfielder,saudi_arabia_ziyad_al_johani.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,17,saudi_arabia_khalid_al_ghannam,Khalid Al-Ghannam,Forward,saudi_arabia_khalid_al_ghannam.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,18,saudi_arabia_alaa_al_hejji,Alaa Al-Hejji,Midfielder,saudi_arabia_alaa_al_hejji.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,19,saudi_arabia_abdullah_al_hamdan,Abdullah Al-Hamdan,Forward,saudi_arabia_abdullah_al_hamdan.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,20,saudi_arabia_sultan_mandash,Sultan Mandash,Forward,saudi_arabia_sultan_mandash.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,21,saudi_arabia_mohammed_al_owais,Mohammed Al-Owais,Goalkeeper,saudi_arabia_mohammed_al_owais.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,22,saudi_arabia_ahmed_al_kassar,Ahmed Al-Kassar,Goalkeeper,saudi_arabia_ahmed_al_kassar.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,23,saudi_arabia_mohamed_kanno,Mohamed Kanno,Midfielder,saudi_arabia_mohamed_kanno.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,24,saudi_arabia_moteb_al_harbi,Moteb Al-Harbi,Defender,saudi_arabia_moteb_al_harbi.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,25,saudi_arabia_jehad_thakri,Jehad Thakri,Defender,saudi_arabia_jehad_thakri.jpg
Saudi Arabia,saudi_arabia,KSA,Group H,26,saudi_arabia_mohammed_abu_al_shamat,Mohammed Abu Al-Shamat,Defender,saudi_arabia_mohammed_abu_al_shamat.jpg
