country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
South Africa,south_africa,RSA,Group A,1,south_africa_ronwen_williams,Ronwen Williams,Goalkeeper,south_africa_ronwen_williams.jpg
South Africa,south_africa,RSA,Group A,2,south_africa_thabang_matuludi,Thabang Matuludi,Defender,south_africa_thabang_matuludi.jpg
South Africa,south_africa,RSA,Group A,3,south_africa_khulumani_ndamane,Khulumani Ndamane,Defender,south_africa_khulumani_ndamane.jpg
South Africa,south_africa,RSA,Group A,4,south_africa_teboho_mokoena,Teboho Mokoena,Midfielder,south_africa_teboho_mokoena.jpg
South Africa,south_africa,RSA,Group A,5,south_africa_thalente_mbatha,Thalente Mbatha,Midfielder,south_africa_thalente_mbatha.jpg
South Africa,south_africa,RSA,Group A,6,south_africa_aubrey_modiba,Aubrey Modiba,Defender,south_africa_aubrey_modiba.jpg
South Africa,south_africa,RSA,Group A,7,south_africa_oswin_appollis,Oswin Appollis,Forward,south_africa_oswin_appollis.jpg
South Africa,south_africa,RSA,Group A,8,south_africa_tshepang_moremi,Tshepang Moremi,Forward,south_africa_tshepang_moremi.jpg
South Africa,south_africa,RSA,Group A,9,south_africa_lyle_foster,Lyle Foster,Forward,south_africa_lyle_foster.jpg
South Africa,south_africa,RSA,Group A,10,south_africa_relebohile_mofokeng,Relebohile Mofokeng,Forward,south_africa_relebohile_mofokeng.jpg
South Africa,south_africa,RSA,Group A,11,south_africa_themba_zwane,Themba Zwane,Midfielder,south_africa_themba_zwane.jpg
South Africa,south_africa,RSA,Group A,12,south_africa_thapelo_maseko,Thapelo Maseko,Forward,south_africa_thapelo_maseko.jpg
South Africa,south_africa,RSA,Group A,13,south_africa_sphephelo_sithole,Sphephelo Sithole,Midfielder,south_africa_sphephelo_sithole.jpg
South Africa,south_africa,RSA,Group A,14,south_africa_mbekezeli_mbokazi,Mbekezeli Mbokazi,Defender,south_africa_mbekezeli_mbokazi.jpg
South Africa,south_africa,RSA,Group A,15,south_africa_iqraam_rayners,Iqraam Rayners,Forward,south_africa_iqraam_rayners.jpg
South Africa,south_africa,RSA,Group A,16,south_africa_sipho_chaine,Sipho Chaine,Goalkeeper,south_africa_sipho_chaine.jpg
South Africa,south_africa,RSA,Group A,17,south_africa_evidence_makgopa,Evidence Makgopa,Forward,south_africa_evidence_makgopa.jpg
South Africa,south_africa,RSA,Group A,18,south_africa_samukele_kabini,Samukele Kabini,Defender,south_africa_samukele_kabini.jpg
South Africa,south_africa,RSA,Group A,19,south_africa_nkosinathi_sibisi,Nkosinathi Sibisi,Defender,south_africa_nkosinathi_sibisi.jpg
South Africa,south_africa,RSA,Group A,20,south_africa_khuliso_mudau,Khuliso Mudau,Defender,south_africa_khuliso_mudau.jpg
South Africa,south_africa,RSA,Group A,21,south_africa_ime_okon,Ime Okon,Defender,south_africa_ime_okon.jpg
South Africa,south_africa,RSA,Group A,22,south_africa_ricardo_goss,Ricardo Goss,Goalkeeper,south_africa_ricardo_goss.jpg
South Africa,south_africa,RSA,Group A,23,south_africa_jayden_adams,Jayden Adams,Midfielder,south_africa_jayden_adams.jpg
South Africa,south_africa,RSA,Group A,24,south_africa_olwethu_makhanya,Olwethu Makhanya,Defender,south_africa_olwethu_makhanya.jpg
South Africa,south_africa,RSA,Group A,25,south_africa_kamogelo_sebelebele,Kamogelo Sebelebele,Forward,south_africa_kamogelo_sebelebele.jpg
South Africa,south_africa,RSA,Group A,26,south_africa_bradley_cross,Bradley Cross,Defender,south_africa_bradley_cross.jpg
