country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
South Korea,south_korea,KOR,Group A,1,south_korea_kim_seung_gyu,Kim Seung-gyu,Goalkeeper,south_korea_kim_seung_gyu.jpg
South Korea,south_korea,KOR,Group A,2,south_korea_lee_han_beom,Lee Han-beom,Defender,south_korea_lee_han_beom.jpg
South Korea,south_korea,KOR,Group A,3,south_korea_lee_gi_hyuk,Lee Gi-hyuk,Midfielder,south_korea_lee_gi_hyuk.jpg
South Korea,south_korea,KOR,Group A,4,south_korea_kim_min_jae,Kim Min-jae,Defender,south_korea_kim_min_jae.jpg
South Korea,south_korea,KOR,Group A,5,south_korea_kim_tae_hyeon,Kim Tae-hyeon,Defender,south_korea_kim_tae_hyeon.jpg
South Korea,south_korea,KOR,Group A,6,south_korea_hwang_in_beom,Hwang In-beom,Midfielder,south_korea_hwang_in_beom.jpg
South Korea,south_korea,KOR,Group A,7,south_korea_son_heung_min,Son Heung-min,Forward,south_korea_son_heung_min.jpg
South Korea,south_korea,KOR,Group A,8,south_korea_paik_seung_ho,Paik Seung-ho,Midfielder,south_korea_paik_seung_ho.jpg
South Korea,south_korea,KOR,Group A,9,south_korea_cho_gue_sung,Cho Gue-sung,Forward,south_korea_cho_gue_sung.jpg
South Korea,south_korea,KOR,Group A,10,south_korea_lee_jae_sung,Lee Jae-sung,Midfielder,south_korea_lee_jae_sung.jpg
South Korea,south_korea,KOR,Group A,11,south_korea_hwang_hee_chan,Hwang Hee-chan,Midfielder,south_korea_hwang_hee_chan.jpg
South Korea,south_korea,KOR,Group A,12,south_korea_song_bum_keun,Song Bum-keun,Goalkeeper,south_korea_song_bum_keun.jpg
South Korea,south_korea,KOR,Group A,13,south_korea_lee_tae_seok,Lee Tae-seok,Defender,south_korea_lee_tae_seok.jpg
South Korea,south_korea,KOR,Group A,14,south_korea_cho_wi_je,Cho Wi-je,Defender,south_korea_cho_wi_je.jpg
South Korea,south_korea,KOR,Group A,15,south_korea_kim_moon_hwan,Kim Moon-hwan,Defender,south_korea_kim_moon_hwan.jpg
South Korea,south_korea,KOR,Group A,16,south_korea_park_jin_seob,Park Jin-seob,Defender,south_korea_park_jin_seob.jpg
South Korea,south_korea,KOR,Group A,17,south_korea_bae_jun_ho,Bae Jun-ho,Midfielder,south_korea_bae_jun_ho.jpg
South Korea,south_korea,KOR,Group A,18,south_korea_oh_hyeon_gyu,Oh Hyeon-gyu,Forward,south_korea_oh_hyeon_gyu.jpg
South Korea,south_korea,KOR,Group A,19,south_korea_lee_kang_in,Lee Kang-in,Midfielder,south_korea_lee_kang_in.jpg
South Korea,south_korea,KOR,Group A,20,south_korea_yang_hyun_jun,Yang Hyun-jun,Midfielder,south_korea_yang_hyun_jun.jpg
South Korea,south_korea,KOR,Group A,21,south_korea_jo_hyeon_woo,Jo Hyeon-woo,Goalkeeper,south_korea_jo_hyeon_woo.jpg
South Korea,south_korea,KOR,Group A,22,south_korea_seol_young_woo,Seol Young-woo,Defender,south_korea_seol_young_woo.jpg
South Korea,south_korea,KOR,Group A,23,south_korea_jens_castrop,Jens Castrop,Defender,south_korea_jens_castrop.jpg
South Korea,south_korea,KOR,Group A,24,south_korea_kim_jin_gyu,Kim Jin-gyu,Midfielder,south_korea_kim_jin_gyu.jpg
South Korea,south_korea,KOR,Group A,25,south_korea_eom_ji_sung,Eom Ji-sung,Midfielder,south_korea_eom_ji_sung.jpg
South Korea,south_korea,KOR,Group A,26,south_korea_lee_dong_gyeong,Lee Dong-gyeong,Midfielder,south_korea_lee_dong_gyeong.jpg
