country,team_id,team_code,group,shirt_number,player_id,player_name,position,reference_filename
Türkiye,turkiye,TUR,Group D,1,turkiye_mert_gunok,Mert Günok,Goalkeeper,turkiye_mert_gunok.jpg
Türkiye,turkiye,TUR,Group D,2,turkiye_zeki_celik,Zeki Çelik,Defender,turkiye_zeki_celik.jpg
Türkiye,turkiye,TUR,Group D,3,turkiye_merih_demiral,Merih Demiral,Defender,turkiye_merih_demiral.jpg
Türkiye,turkiye,TUR,Group D,4,turkiye_caglar_soyuncu,Çağlar Söyüncü,Defender,turkiye_caglar_soyuncu.jpg
Türkiye,turkiye,TUR,Group D,5,turkiye_salih_ozcan,Salih Özcan,Midfielder,turkiye_salih_ozcan.jpg
Türkiye,turkiye,TUR,Group D,6,turkiye_orkun_kokcu,Orkun Kökçü,Midfielder,turkiye_orkun_kokcu.jpg
Türkiye,turkiye,TUR,Group D,7,turkiye_kerem_akturkoglu,Kerem Aktürkoğlu,Forward,turkiye_kerem_akturkoglu.jpg
Türkiye,turkiye,TUR,Group D,8,turkiye_arda_guler,Arda Güler,Forward,turkiye_arda_guler.jpg
Türkiye,turkiye,TUR,Group D,9,turkiye_deniz_gul,Deniz Gül,Forward,turkiye_deniz_gul.jpg
Türkiye,turkiye,TUR,Group D,10,turkiye_hakan_calhanoglu,Hakan Çalhanoğlu,Midfielder,turkiye_hakan_calhanoglu.jpg
Türkiye,turkiye,TUR,Group D,11,turkiye_kenan_yldz,Kenan Yıldız,Forward,turkiye_kenan_yldz.jpg
Türkiye,turkiye,TUR,Group D,12,turkiye_altay_bayndr,Altay Bayındır,Goalkeeper,turkiye_altay_bayndr.jpg
Türkiye,turkiye,TUR,Group D,13,turkiye_eren_elmal,Eren Elmalı,Defender,turkiye_eren_elmal.jpg
Türkiye,turkiye,TUR,Group D,14,turkiye_abdulkerim_bardakc,Abdülkerim Bardakcı,Defender,turkiye_abdulkerim_bardakc.jpg
Türkiye,turkiye,TUR,Group D,15,turkiye_ozan_kabak,Ozan Kabak,Defender,turkiye_ozan_kabak.jpg
Türkiye,turkiye,TUR,Group D,16,turkiye_ismail_yuksek,İsmail Yüksek,Midfielder,turkiye_ismail_yuksek.jpg
Türkiye,turkiye,TUR,Group D,17,turkiye_irfan_can_kahveci,İrfan Can Kahveci,Forward,turkiye_irfan_can_kahveci.jpg
Türkiye,turkiye,TUR,Group D,18,turkiye_mert_muldur,Mert Müldür,Defender,turkiye_mert_muldur.jpg
Türkiye,turkiye,TUR,Group D,19,turkiye_yunus_akgun,Yunus Akgün,Forward,turkiye_yunus_akgun.jpg
Türkiye,turkiye,TUR,Group D,20,turkiye_ferdi_kadoglu,Ferdi Kadıoğlu,Defender,turkiye_ferdi_kadoglu.jpg
Türkiye,turkiye,TUR,Group D,21,turkiye_bars_alper_ylmaz,Barış Alper Yılmaz,Forward,turkiye_bars_alper_ylmaz.jpg
Türkiye,turkiye,TUR,Group D,22,turkiye_kaan_ayhan,Kaan Ayhan,Midfielder,turkiye_kaan_ayhan.jpg
Türkiye,turkiye,TUR,Group D,23,turkiye_ugurcan_cakr,Uğurcan Çakır,Goalkeeper,turkiye_ugurcan_cakr.jpg
Türkiye,turkiye,TUR,Group D,24,turkiye_oguz_aydn,Oğuz Aydın,Forward,turkiye_oguz_aydn.jpg
Türkiye,turkiye,TUR,Group D,25,turkiye_samet_akaydin,Samet Akaydin,Defender,turkiye_samet_akaydin.jpg
Türkiye,turkiye,TUR,Group D,26,turkiye_can_uzun,Can Uzun,Forward,turkiye_can_uzun.jpg
