team_id,shirt_number,player_name,position,rarity
algeria,1,Raïs M'Bohli,Goalkeeper,rare
algeria,2,Youcef Atal,Defender,rare
algeria,3,Ramy Bensebaini,Defender,epic
algeria,4,Ismaël Bennacer,Midfielder,epic
algeria,5,Aïssa Mandi,Defender,rare
algeria,6,Riyad Mahrez,Forward,legendary
algeria,7,Youcef Belaïli,Midfielder,rare
algeria,8,Adam Ounas,Midfielder,common
algeria,9,Baghdad Bounedjah,Forward,rare
algeria,10,Islam Slimani,Forward,epic
algeria,11,Farès Chaïbi,Midfielder,rare
algeria,12,Haris Belkebla,Midfielder,common
algeria,13,Ramiz Zerrouki,Midfielder,common
algeria,14,Jaouad Zaid,Defender,common
algeria,15,Anthony Mandrea,Goalkeeper,common
argentina,1,Emiliano Martínez,Goalkeeper,epic
argentina,2,Nahuel Molina,Defender,rare
argentina,3,Nicolás Otamendi,Defender,rare
argentina,4,Enzo Fernández,Midfielder,epic
argentina,5,Leandro Paredes,Midfielder,common
argentina,6,Rodrigo De Paul,Midfielder,epic
argentina,7,Ángel Di María,Forward,legendary
argentina,8,Alexis Mac Allister,Midfielder,rare
argentina,9,Julián Álvarez,Forward,epic
argentina,10,Lionel Messi,Forward,legendary
argentina,11,Lautaro Martínez,Forward,epic
argentina,12,Giovani Lo Celso,Midfielder,common
argentina,13,Cristian Romero,Defender,rare
argentina,14,Exequiel Palacios,Midfielder,common
argentina,15,Gerónimo Rulli,Goalkeeper,common
australia,1,Mathew Ryan,Goalkeeper,epic
australia,2,Fran Karačić,Defender,common
australia,3,Harry Souttar,Defender,rare
australia,4,Jackson Irvine,Midfielder,epic
australia,5,Bailey Wright,Defender,common
australia,6,Mathew Leckie,Forward,rare
australia,7,Riley McGree,Midfielder,common
australia,8,Ajdin Hrustić,Midfielder,rare
australia,9,Mitchell Duke,Forward,rare
australia,10,Craig Goodwin,Forward,epic
australia,11,Garang Kuol,Forward,common
australia,12,Aziz Behich,Defender,common
australia,13,Keanu Baccus,Midfielder,common
australia,14,Kusini Yengi,Forward,common
australia,15,Lawrence Thomas,Goalkeeper,common
austria,1,Patrick Pentz,Goalkeeper,rare
austria,2,David Alaba,Defender,legendary
austria,3,Kevin Wimmer,Defender,common
austria,4,Marcel Sabitzer,Midfielder,epic
austria,5,Philipp Lienhart,Defender,rare
austria,6,Konrad Laimer,Midfielder,epic
austria,7,Marko Arnautović,Forward,legendary
austria,8,Christoph Baumgartner,Midfielder,rare
austria,9,Michael Gregoritsch,Forward,rare
austria,10,Maximilian Wöber,Defender,rare
austria,11,Romano Schmid,Midfielder,common
austria,12,Stefan Posch,Defender,rare
austria,13,Flavius Daniliuc,Defender,common
austria,14,Alexander Prass,Midfielder,common
austria,15,Heinz Lindner,Goalkeeper,common
belgium,1,Thibaut Courtois,Goalkeeper,legendary
belgium,2,Thomas Meunier,Defender,common
belgium,3,Arthur Theate,Defender,rare
belgium,4,Youri Tielemans,Midfielder,epic
belgium,5,Jan Vertonghen,Defender,rare
belgium,6,Axel Witsel,Midfielder,rare
belgium,7,Jeremy Doku,Forward,epic
belgium,8,Romelu Lukaku,Forward,legendary
belgium,9,Loïs Openda,Forward,epic
belgium,10,Kevin De Bruyne,Midfielder,legendary
belgium,11,Amadou Onana,Midfielder,rare
belgium,12,Timothy Castagne,Defender,common
belgium,13,Charles De Ketelaere,Midfielder,rare
belgium,14,Dodi Lukebakio,Forward,common
belgium,15,Koen Casteels,Goalkeeper,rare
bosnia_herzegovina,1,Asmir Begović,Goalkeeper,rare
bosnia_herzegovina,2,Sead Kolašinac,Defender,epic
bosnia_herzegovina,3,Ermin Bičakčić,Defender,common
bosnia_herzegovina,4,Miralem Pjanić,Midfielder,legendary
bosnia_herzegovina,5,Stojan Vukanović,Defender,common
bosnia_herzegovina,6,Gojko Cimirot,Midfielder,rare
bosnia_herzegovina,7,Edin Džeko,Forward,legendary
bosnia_herzegovina,8,Amar Kadić,Midfielder,common
bosnia_herzegovina,9,Miroslav Stevanović,Forward,rare
bosnia_herzegovina,10,Marko Arnautović,Forward,epic
bosnia_herzegovina,11,Elvis Mešić,Midfielder,common
bosnia_herzegovina,12,Benjamin Tahirović,Midfielder,rare
bosnia_herzegovina,13,Anel Ahmedhodžić,Defender,rare
bosnia_herzegovina,14,Adrian Leon Bagić,Defender,common
bosnia_herzegovina,15,Ibrahim Šehić,Goalkeeper,common
brazil,1,Alisson,Goalkeeper,epic
brazil,2,Danilo,Defender,rare
brazil,3,Marquinhos,Defender,epic
brazil,4,Casemiro,Midfielder,epic
brazil,5,Fabinho,Midfielder,rare
brazil,6,Bruno Guimarães,Midfielder,epic
brazil,7,Vinícius Júnior,Forward,legendary
brazil,8,Rodrygo,Forward,epic
brazil,9,Richarlison,Forward,rare
brazil,10,Neymar,Forward,legendary
brazil,11,Raphinha,Forward,epic
brazil,12,Alex Sandro,Defender,common
brazil,13,Bremer,Defender,rare
brazil,14,Endrick,Forward,rare
brazil,15,Ederson,Goalkeeper,rare
