player_id,player_name,country,position,team_id,shirt_number
mexico_raul_rangel,Raúl Rangel,Mexico,Goalkeeper,mexico,1
mexico_erik_lira,Érik Lira,Mexico,Midfielder,mexico,6
mexico_alvaro_fidalgo,Álvaro Fidalgo,Mexico,Midfielder,mexico,8
mexico_alexis_vega,Alexis Vega,Mexico,Forward,mexico,10
mexico_carlos_acevedo,Carlos Acevedo,Mexico,Goalkeeper,mexico,12
mexico_armando_gonzalez,Armando González,Mexico,Forward,mexico,14
mexico_gilberto_mora,Gilberto Mora,Mexico,Midfielder,mexico,19
mexico_mateo_chavez,Mateo Chávez,Mexico,Defender,mexico,20
mexico_guillermo_martinez,Guillermo Martínez,Mexico,Forward,mexico,22
south_africa_ronwen_williams,Ronwen Williams,South Africa,Goalkeeper,south_africa,1
south_africa_thabang_matuludi,Thabang Matuludi,South Africa,Defender,south_africa,2
south_africa_khulumani_ndamane,Khulumani Ndamane,South Africa,Defender,south_africa,3
south_africa_teboho_mokoena,Teboho Mokoena,South Africa,Midfielder,south_africa,4
south_africa_thalente_mbatha,Thalente Mbatha,South Africa,Midfielder,south_africa,5
south_africa_aubrey_modiba,Aubrey Modiba,South Africa,Defender,south_africa,6
south_africa_oswin_appollis,Oswin Appollis,South Africa,Forward,south_africa,7
south_africa_tshepang_moremi,Tshepang Moremi,South Africa,Forward,south_africa,8
south_africa_relebohile_mofokeng,Relebohile Mofokeng,South Africa,Forward,south_africa,10
south_africa_themba_zwane,Themba Zwane,South Africa,Midfielder,south_africa,11
south_africa_thapelo_maseko,Thapelo Maseko,South Africa,Forward,south_africa,12
south_africa_sphephelo_sithole,Sphephelo Sithole,South Africa,Midfielder,south_africa,13
south_africa_mbekezeli_mbokazi,Mbekezeli Mbokazi,South Africa,Defender,south_africa,14
south_africa_iqraam_rayners,Iqraam Rayners,South Africa,Forward,south_africa,15
south_africa_sipho_chaine,Sipho Chaine,South Africa,Goalkeeper,south_africa,16
south_africa_evidence_makgopa,Evidence Makgopa,South Africa,Forward,south_africa,17
south_africa_samukele_kabini,Samukele Kabini,South Africa,Defender,south_africa,18
south_africa_nkosinathi_sibisi,Nkosinathi Sibisi,South Africa,Defender,south_africa,19
south_africa_khuliso_mudau,Khuliso Mudau,South Africa,Defender,south_africa,20
south_africa_ime_okon,Ime Okon,South Africa,Defender,south_africa,21
south_africa_ricardo_goss,Ricardo Goss,South Africa,Goalkeeper,south_africa,22
south_africa_jayden_adams,Jayden Adams,South Africa,Midfielder,south_africa,23
south_africa_kamogelo_sebelebele,Kamogelo Sebelebele,South Africa,Forward,south_africa,25
south_africa_bradley_cross,Bradley Cross,South Africa,Defender,south_africa,26
south_korea_kim_tae_hyeon,Kim Tae-hyeon,South Korea,Defender,south_korea,5
south_korea_hwang_in_beom,Hwang In-beom,South Korea,Midfielder,south_korea,6
south_korea_song_bum_keun,Song Bum-keun,South Korea,Goalkeeper,south_korea,12
south_korea_cho_wi_je,Cho Wi-je,South Korea,Defender,south_korea,14
south_korea_seol_young_woo,Seol Young-woo,South Korea,Defender,south_korea,22
south_korea_kim_jin_gyu,Kim Jin-gyu,South Korea,Midfielder,south_korea,24
south_korea_lee_dong_gyeong,Lee Dong-gyeong,South Korea,Midfielder,south_korea,26
czechia_stepan_chaloupek,Štěpán Chaloupek,Czechia,Defender,czechia,6
czechia_vladimir_darida,Vladimír Darida,Czechia,Midfielder,czechia,8
czechia_jan_kuchta,Jan Kuchta,Czechia,Forward,czechia,11
czechia_alexandr_sojka,Alexandr Sojka,Czechia,Midfielder,czechia,24
czechia_hugo_sochurek,Hugo Sochůrek,Czechia,Midfielder,czechia,25
czechia_denis_visinsky,Denis Višinský,Czechia,Forward,czechia,26
canada_promise_david,Promise David,Canada,Forward,canada,24
canada_marcelo_flores,Marcelo Flores,Canada,Midfielder,canada,26
switzerland_johan_manzambi,Johan Manzambi,Switzerland,Midfielder,switzerland,9
qatar_mahmud_abunada,Mahmud Abunada,Qatar,Goalkeeper,qatar,1
qatar_issa_laye,Issa Laye,Qatar,Defender,qatar,4
qatar_edmilson_junior,Edmilson Junior,Qatar,Forward,qatar,8
qatar_ayoub_al_oui,Ayoub Al-Oui,Qatar,Defender,qatar,13
qatar_ahmed_al_ganehi,Ahmed Al-Ganehi,Qatar,Midfielder,qatar,17
qatar_tahsin_jamshid,Tahsin Jamshid,Qatar,Forward,qatar,24
qatar_mohamed_manai,Mohamed Manai,Qatar,Forward,qatar,26
bosnia_herzegovina_tarik_muharemovic,Tarik Muharemović,Bosnia and Herzegovina,Defender,bosnia_herzegovina,4
bosnia_herzegovina_samed_bazdar,Samed Baždar,Bosnia and Herzegovina,Forward,bosnia_herzegovina,9
bosnia_herzegovina_mladen_jurkas,Mladen Jurkas,Bosnia and Herzegovina,Goalkeeper,bosnia_herzegovina,12
bosnia_herzegovina_ivan_basic,Ivan Bašić,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,13
bosnia_herzegovina_amar_memic,Amar Memić,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,15
bosnia_herzegovina_amir_hadziahmetovic,Amir Hadžiahmetović,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,16
bosnia_herzegovina_kerim_alajbegovic,Kerim Alajbegović,Bosnia and Herzegovina,Forward,bosnia_herzegovina,19
bosnia_herzegovina_stjepan_radeljic,Stjepan Radeljić,Bosnia and Herzegovina,Defender,bosnia_herzegovina,21
bosnia_herzegovina_martin_zlomislic,Martin Zlomislić,Bosnia and Herzegovina,Goalkeeper,bosnia_herzegovina,22
bosnia_herzegovina_nidal_celik,Nidal Čelik,Bosnia and Herzegovina,Defender,bosnia_herzegovina,24
bosnia_herzegovina_jovo_lukic,Jovo Lukić,Bosnia and Herzegovina,Forward,bosnia_herzegovina,25
bosnia_herzegovina_ermin_mahmic,Ermin Mahmić,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,26
brazil_weverton,Weverton,Brazil,Goalkeeper,brazil,12
brazil_leo_pereira,Léo Pereira,Brazil,Defender,brazil,15
brazil_douglas_santos,Douglas Santos,Brazil,Defender,brazil,16
brazil_endrick,Endrick,Brazil,Forward,brazil,19
brazil_luiz_henrique,Luiz Henrique,Brazil,Forward,brazil,21
morocco_ayyoub_bouaddi,Ayyoub Bouaddi,Morocco,Midfielder,morocco,6
morocco_samir_el_mourabet,Samir El Mourabet,Morocco,Midfielder,morocco,15
morocco_youssef_belammari,Youssef Belammari,Morocco,Defender,morocco,19
morocco_ayoube_amaimouni,Ayoube Amaimouni,Morocco,Forward,morocco,21
morocco_redouane_halhal,Redouane Halhal,Morocco,Defender,morocco,25
scotland_tyler_fletcher,Tyler Fletcher,Scotland,Midfielder,scotland,8
scotland_findlay_curtis,Findlay Curtis,Scotland,Forward,scotland,25
haiti_keeto_thermoncy,Keeto Thermoncy,Haiti,Defender,haiti,3
haiti_carl_sainte,Carl Sainté,Haiti,Midfielder,haiti,6
haiti_martin_experience,Martin Expérience,Haiti,Defender,haiti,8
haiti_duke_lacroix,Duke Lacroix,Haiti,Defender,haiti,13
haiti_leverton_pierre,Leverton Pierre,Haiti,Midfielder,haiti,14
haiti_wilson_isidor,Wilson Isidor,Haiti,Forward,haiti,18
haiti_yassin_fortune,Yassin Fortuné,Haiti,Forward,haiti,19
haiti_frantzdy_pierrot,Frantzdy Pierrot,Haiti,Forward,haiti,20
haiti_josue_duverger,Josué Duverger,Haiti,Goalkeeper,haiti,23
haiti_wilguens_paugain,Wilguens Paugain,Haiti,Defender,haiti,24
haiti_dominique_simon,Dominique Simon,Haiti,Midfielder,haiti,25
haiti_woodensky_pierre,Woodensky Pierre,Haiti,Midfielder,haiti,26
united_states_alex_freeman,Alex Freeman,United States,Defender,united_states,16
paraguay_gatito_fernandez,Gatito Fernández,Paraguay,Goalkeeper,paraguay,1
paraguay_fabian_balbuena,Fabián Balbuena,Paraguay,Defender,paraguay,5
paraguay_orlando_gill,Orlando Gill,Paraguay,Goalkeeper,paraguay,12
paraguay_gustavo_gomez,Gustavo Gómez,Paraguay,Defender,paraguay,15
paraguay_damian_bobadilla,Damián Bobadilla,Paraguay,Midfielder,paraguay,16
paraguay_isidro_pitta,Isidro Pitta,Paraguay,Forward,paraguay,25
paraguay_alexandro_maidana,Alexandro Maidana,Paraguay,Defender,paraguay,26
australia_milos_degenek,Miloš Degenek,Australia,Defender,australia,2
australia_jacob_italiano,Jacob Italiano,Australia,Defender,australia,4
australia_cammy_devlin,Cammy Devlin,Australia,Midfielder,australia,14
australia_paul_okon_engstler,Paul Okon-Engstler,Australia,Midfielder,australia,24
australia_lucas_herrington,Lucas Herrington,Australia,Defender,australia,25
turkiye_samet_akaydin,Samet Akaydin,Türkiye,Defender,turkiye,25
germany_lennart_karl,Lennart Karl,Germany,Midfielder,germany,25
ecuador_felix_torres,Félix Torres,Ecuador,Defender,ecuador,2
ecuador_enner_valencia,Enner Valencia,Ecuador,Forward,ecuador,13
ecuador_jordy_caicedo,Jordy Caicedo,Ecuador,Forward,ecuador,16
ecuador_denil_castillo,Denil Castillo,Ecuador,Midfielder,ecuador,18
ecuador_gonzalo_plata,Gonzalo Plata,Ecuador,Forward,ecuador,19
ecuador_alan_franco,Alan Franco,Ecuador,Midfielder,ecuador,21
ivory_coast_yan_diomande,Yan Diomande,Ivory Coast,Forward,ivory_coast,11
